"S.No","Hostname","User","CrowdStrike","CrowdStrike Date","CrowdStrike Version","Netskope","Netskope Date","Netskope Version","Encryption","Patch","Winver","WinBid"
"1","ADBASICS","bob","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"2","ADBASICS","christine","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"3","ADBASICS","claire","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"4","ADBASICS","daniel","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"5","ADBASICS","mark","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"6","ADBASICS","mary","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"7","ADBASICS","phillip","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"8","ADBASICS","robert","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"9","ADBASICS","sophie","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
"10","ADBASICS","thomas","Not Installed","N/A","N/A","Not Installed","N/A","N/A","C not encrypted","2021-03-17","Microsoft Windows Server 2019 Datacenter","1809"
